N,Z
0,-236
1,-240
2,-240
3,-236
4,-222
5,-256
6,-304
7,-184
8,-158
9,-344
10,-306
11,-122
12,-258
13,-328
14,-142
15,-256
16,-326
17,-168
18,-220
19,-320
20,-188
21,-212
22,-308
23,-238
24,-210
25,-248
26,-228
27,-212
28,-268
29,-260
30,-234
31,-218
32,-236
33,-242
34,-248
35,-230
36,-260
37,-234
38,-226
39,-232
40,-236
41,-244
42,-244
43,-226
44,-256
45,-250
46,-248
47,-224
48,-248
49,-228
50,-218
51,-252
52,-230
53,-228
54,-256
55,-256
56,-230
57,-244
58,-254
59,-228
60,-230
61,-254
62,-238
63,-212
64,-242
65,-240
66,-228
67,-224
68,-258
69,-248
70,-242
71,-230
72,-246
73,-230
74,-242
75,-252
76,-230
77,-236
78,-260
79,-244
80,-232
81,-256
82,-252
83,-228
84,-268
85,-242
86,-134
87,-244
88,-404
89,-204
90,-46
91,-332
92,-324
93,-108
94,-298
95,-328
96,-108
97,-252
98,-358
99,-144
100,-208
101,-336
102,-190
103,-180
104,-288
105,-234
106,-238
107,-270
108,-238
109,-200
110,-230
111,-240
112,-258
113,-244
114,-238
115,-236
116,-226
117,-238
118,-268
119,-252
120,-244
121,-226
122,-242
123,-256
124,-234
125,-242
126,-248
127,-226
128,-238
129,-246
130,-248
131,-248
132,-256
133,-246
134,-220
135,-250
136,-256
137,-224
138,-238
139,-264
140,-234
141,-216
142,-254
143,-260
144,-226
145,-226
146,-256
147,-246
148,-242
149,-260
150,-252
151,-222
152,-236
153,-234
154,-218
155,-248
156,-250
157,-238
158,-224
159,-236
160,-250
161,-236
162,-256
163,-236
164,-214
165,-310
166,-304
167,-90
168,-168
169,-444
170,-242
171,-70
172,-346
173,-294
174,-108
175,-320
176,-312
177,-124
178,-260
179,-306
180,-160
181,-224
182,-314
183,-236
184,-216
185,-260
186,-212
187,-238
188,-274
189,-256
190,-228
191,-232
192,-228
193,-232
194,-248
195,-240
196,-256
197,-230
198,-212
199,-242
200,-250
201,-246
202,-248
203,-240
204,-232
205,-250
206,-230
207,-230
208,-256
209,-228
210,-218
211,-244
212,-246
213,-222
214,-252
215,-244
216,-206
217,-238
218,-242
219,-232
220,-236
221,-256
222,-224
223,-218
224,-254
225,-250
226,-212
227,-236
228,-254
229,-230
230,-214
231,-242
232,-252
233,-228
234,-222
235,-264
236,-232
237,-238
238,-240
239,-246
240,-222
241,-256
242,-240
243,-228
244,-254
245,-210
246,-162
247,-310
248,-342
249,-124
250,-162
251,-360
252,-228
253,-158
254,-320
255,-234
256,-138
257,-312
258,-254
259,-178
260,-288
261,-284
262,-174
263,-248
264,-274
265,-228
266,-256
267,-266
268,-228
269,-232
270,-248
271,-248
272,-258
273,-250
274,-232
275,-224
276,-232
277,-246
278,-242
279,-236
280,-250
281,-232
282,-240
283,-252
284,-242
285,-236
286,-250
287,-244
288,-232
289,-250
290,-250
291,-240
292,-254
293,-256
294,-240
295,-232
296,-256
297,-244
298,-228
299,-236
300,-252
301,-222
302,-238
303,-260
304,-236
305,-236
306,-256
307,-256
308,-234
309,-254
310,-254
311,-234
312,-256
313,-246
314,-236
315,-248
316,-240
317,-236
318,-248
319,-254
320,-244
321,-234
322,-250
323,-228
324,-242
325,-334
326,-218
327,-52
328,-324
329,-418
330,-90
331,-202
332,-376
333,-144
334,-212
335,-366
336,-162
337,-188
338,-344
339,-224
340,-196
341,-288
342,-256
343,-222
344,-232
345,-212
346,-228
347,-266
348,-268
349,-238
350,-220
351,-232
352,-240
353,-234
354,-264
355,-260
356,-226
357,-242
358,-232
359,-222
360,-256
361,-256
362,-232
363,-232
364,-242
365,-230
366,-244
367,-254
368,-242
369,-232
370,-248
371,-240
372,-242
373,-240
374,-252
375,-234
376,-226
377,-262
378,-240
379,-222
380,-250
381,-258
382,-232
383,-230
384,-244
385,-242
386,-228
387,-232
388,-242
389,-236
390,-248
391,-246
392,-238
393,-236
394,-254
395,-228
396,-228
397,-244
398,-242
399,-228
400,-236
401,-242
402,-240
403,-244
404,-242
405,-186
406,-232
407,-334
408,-238
409,-142
410,-244
411,-274
412,-200
413,-258
414,-264
415,-186
416,-234
417,-266
418,-224
419,-256
420,-262
421,-222
422,-240
423,-226
424,-240
425,-248
426,-256
427,-234
428,-200
429,-228
430,-244
431,-242
432,-234
433,-242
434,-240
435,-222
436,-252
437,-256
438,-254
439,-256
440,-226
441,-218
442,-252
443,-254
444,-226
445,-254
446,-250
447,-228
448,-238
449,-260
450,-228
451,-238
452,-242
453,-238
454,-234
455,-232
456,-238
457,-230
458,-234
459,-254
460,-250
461,-240
462,-266
463,-248
464,-238
465,-234
466,-230
467,-240
468,-216
469,-234
470,-240
471,-244
472,-238
473,-236
474,-232
475,-238
476,-248
477,-232
478,-224
479,-258
480,-222
481,-224
482,-250
483,-238
484,-214
485,-286
486,-302
487,-118
488,-176
489,-378
490,-270
491,-130
492,-284
493,-246
494,-192
495,-326
496,-262
497,-138
498,-272
499,-178
500,-236
501,-282
502,-242
503,-240
504,-232
505,-224
506,-240
507,-262
508,-256
509,-228
510,-230
511,-248
512,-242
513,-248
514,-256
515,-254
516,-236
517,-244
518,-236
519,-250
520,-266
521,-240
522,-224
523,-246
524,-248
525,-234
526,-244
527,-256
528,-234
529,-236
530,-256
531,-242
532,-224
533,-246
534,-258
535,-234
536,-244
537,-266
538,-232
539,-234
540,-268
541,-250
542,-234
543,-252
544,-252
545,-238
546,-236
547,-250
548,-234
549,-240
550,-252
551,-246
552,-238
553,-240
554,-240
555,-240
556,-242
557,-254
558,-244
559,-232
560,-246
561,-250
562,-244
563,-264
564,-230
565,-186
566,-282
567,-322
568,-198
569,-166
570,-272
571,-274
572,-216
573,-268
574,-228
575,-194
576,-266
577,-244
578,-218
579,-268
580,-264
581,-228
582,-224
583,-238
584,-250
585,-252
586,-252
587,-236
588,-230
589,-246
590,-248
591,-238
592,-242
593,-240
594,-240
595,-240
596,-244
597,-236
598,-254
599,-256
600,-224
601,-228
602,-254
603,-248
604,-218
605,-230
606,-248
607,-234
608,-242
609,-244
610,-234
611,-244
612,-256
613,-222
614,-252
615,-250
616,-248
617,-248
618,-248
619,-236
620,-242
621,-216
622,-240
623,-242
624,-228
625,-238
626,-250
